"ID","CAMP_NAME","CATE1","CATE2","CATE3","SIDO_NAME","SIGUGUN_NAME","EUPMYUNDONG_NAME","RY_NAME","BUNJI_NAME","ROAD_NAME","BUILDING_NUM","LATITUDE","LONGITUDE","ZIP","ROAD_ADDRESS","JIBUN_ADDRESS","PHONE","HOMEPAGE","VENDOR","WEEKDAY_OP_STATUS","WEEKEND_OP_STATUS","SPRING_OP_STATUS","SUMMER_OP_STATUS","FALL_OP_STATUS","WINTER_OP_STATUS","FACIL_ELECTRICITY","FACIL_HOT_WATER","FACIL_WIFI","FACIL_CAMPFIRE","FACIL_TRAIL","FACIL_POOL","FACIL_PLAYGROUND","FACIL_MART","FACIL_RESTROOM","FACIL_SHOWERROOM","FACIL_SINK","FACIL_EXTINGUISHER","SURR_FACIL_FISHING","SURR_FACIL_TRAIL","SURR_FACIL_BEACH","SURR_FACIL_MARITIME_LEISURE","SURR_FACIL_VALLEY","SURR_FACIL_STREAM","SURR_FACIL_POOL","SURR_FACIL_YOUTH_EXPERIENCE","SURR_FACIL_RURAL_EXPERIENCE","SURR_FACIL_CHILDRENS_PLAY","GLAM_BED","GLAM_TV","GLAM_FREEZER","GLAM_INTERNET","GLAM_RESTROOM","GLAM_AIRCON","GLAM_HEATER","GLAM_COOKWARE","FACIL_CHARACTERISTICS","FACIL_DETAIL","REG_DATE","LOCATION","BOX_PHOTO_IMAGES","CAMP_INTRO_IMAGES"
4960,"수동자연마을 힐링별밤수목원캠핑장","여가활동","캠핑","일반야영장,자동차야영장","경기도","남양주시","수동면","내방리","236-1 번지","비룡로","1516-19 번",37.7497,127.2737,"12026","경기도 남양주시 수동면 비룡로 1516-19","경기도 남양주시 수동면 내방리 236-1","정보없음","http://cafe.naver.com/healingforestcamping","민간","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작 미판매","산책로 없음","물놀이장 미보유","놀이터 미보유","마트 있음","2","2","2","8","낚시 시설없음","시설 주변 산책로 없음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","수동계곡에 자리잡고있는 캠핑장","힐링별밤수목원 캠핑장은 수동국민관광지로 지정된 수동계곡에 위치하고있다. 나무가 우거지고 계곡으로 둘러쌓인, 숲과 계곡에 위치한 오토캠핑장이다. 관리동과 편의시설에 근접한 힐링사이트와 계곡을 따라 마련된 숲계곡,계곡 사이트와 별이 가까운 별밤사이트가 있다. 수동계곡과 축령산의 숲길, 산책로를 모두 즐길 수 있어서 휴식을 하기 좋은 공간이다. 주변관광지로는 몽골문화촌, 비금계곡 등이 있다. ","2024-05-09",,"",""
4969,"포세이돈","여가활동","캠핑","자동차야영장","경기도","가평군","청평면","고성리","36-2 번지","고재길","262-101 번",37.7015,127.5179,"12456","경기도 가평군 청평면 고재길 262-101","경기도 가평군 청평면 고성리 36-2","02-334-8787","http://pose2don.com/","민간","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 미운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작판매","산책로 없음","물놀이장 보유","놀이터 보유","마트 없음","2","2","10","19","낚시 시설없음","시설 주변 산책로 있음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 있음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 있음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","수상레저를 즐길 수 있는 카라반","카라반 19대를 운영 중이며 서바이벌 그라운드가 접한 전망이 좋은 곳과 수상레저를 접근하기 쉽도록 바로 앞 호수가 인접한 곳에 위치하여 문을 열면 청평호의 시원한 풍경이 조망된다. 카라반은 파쇄석 위에 전용 나무데크 시설과 잔디밭위에 위치해 있어 꼭 외국 캠핑장에 와 있는 것 같은 느낌을 준다. 탁자와 의자가 있어 바비큐 그릴을 사용하기 편리하다. 공동 바비큐장도 이용이 가능하며 카라반 내 화장실과 샤워실 내부의 청소상태 또한 청경하여 이용객의 기분을 좋게 한다. 수상레저 전문업체가 운영하는 만큼 여름철 각종 수랑레저 및 액티비티를 체험 할 수 있으며 카바나식 그늘막이 설치된 수영장에는 일몰시 아름다운 사진을 남길 수 있다.","2024-05-09",,"",""
4978,"가래골농원 캠핑장","여가활동","캠핑","일반야영장","경기도","포천시","창수면","추동리","821 번지","포천로2811번길","178 번",37.9933,127.1576,"11134","경기도 포천시 창수면 포천로2811번길 178","경기도 포천시 창수면 추동리 821","031-533-7410","http://garaegol.com/ws/builder/","민간","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작판매","산책로 없음","물놀이장 보유","놀이터 보유","마트 있음","1","1","0","90","낚시 시설없음","시설 주변 산책로 있음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 있음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 있음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","텃밭과 동물농장이 있음","가래골농원 캠핑장은 포천시 창수면, 물 맑고 산 좋은 종현산 자락에 위치한 힐링 캠핑장이다. 4만 5천평에 달하는 대지에 가족농원 캠핑장을 모토로 텃밭과 동물농장을 가지고 있으며, 펜션과 오토캠핑장의 구성으로 되어 있는 복합적인 캠핑장이다. 가래골농원 캠핑장은 테마 별로 조성 되어진 사이트를 가지고 있다. 잣나무와 소나무가 우거져있는 소나무 사이트와, 팔각정과 반려견 동반입장이 가능한(제한된 구역)알프스 사이트가 있다. 캠핑장 입구에서부터 눈길을 끄는 인공연못과 조형물들은 잘 가꾸어진 정원 속에서 빛을 발한다.  가래골농원 캠핑장은 놀거리와 체험거리가 많은 캠핑장이다. 아이들을 위한 미니농장(양, 사슴, 토끼, 염소, 말, 공작새 등)이 있어, 동물들에게 먹이주기 체험도 하며, 승마장이 있어 조랑말을 타보는 승마체험 도할 수 있다. 여름이면 25미터 길이의 워터슬라이드 미끄럼틀 수영장이 있어 짜릿하게 물놀이를 할 수 있다. 산책로가 잘되어 있어 맑은 공기를 마시며 산책을 즐기기에 좋다.","2024-05-09",,"",""
5000,"가족쉼터","여가활동","캠핑","자동차야영장","경기도","남양주시","수동면","수산리","591-2 번지","","",37.7548,127.2721,"12026","","경기도 남양주시 수동면 수산리 591-2","031-591-1585","정보없음","지자체","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 미운영","전기 사용가능","온수 사용불가","wifi 사용불가","장작 미판매","산책로 없음","물놀이장 미보유","놀이터 보유","마트 없음","2","2","2","9","낚시 시설없음","시설 주변 산책로 없음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","숲과 수동계곡 바로 옆에 위치함","경기도 남양주의 몽골문화촌 가족쉼터캠핑장은 남양주시에서 운영하는 당일캠핑장이다.  울창한 숲과 수동계곡 바로 옆에 위치해 대자연의 신비로움을 만끽할 수 있다. 캠핑장은 오전 7시부터 오후 7시까지 운영하며 사전 예약제로 운영한다. 캠핑장 내에 화장실, 샤워장, 개수대, 매점 등 편의시설 보수중에 있다.","2024-05-09",,"",""
5004,"가평 물골숲 계곡 캠핑장","여가활동","캠핑","자동차야영장","경기도","가평군","상면","봉수리","18-2 번지","물골길","120 번",37.8368,127.3143,"12440","경기도 가평군 상면 물골길 120","경기도 가평군 상면 봉수리 18-2","정보없음","http://cafe.naver.com/mulgolcamping","민간","평일 미운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 미운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작판매","산책로 없음","물놀이장 보유","놀이터 미보유","마트 있음","2","2","5","8","낚시 시설없음","시설 주변 산책로 있음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 있음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 있음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","반려견 출입 가능","사평 물골숲 계곡 캠핑장은 가평군 상면 운악산과 아차산 사이 깊은 계곡에 위치하는데 맑은 숲과 물 맑은 계곡을 품고 있는 캠핑장으로 반려견 출입 가능하여 가족 단위 행복한 시간을 가질 수 있어 조용한 캠핑을 추구하는 캠퍼들에게 인기가 대단하다.      캠핑장 일부 사이트는 그늘이 좋은 계곡과 잣나무 향이 향기로운 전나무 아래 사이트가 구성 되어 있어 경쟁률이 치열하다. 하지만 대형 사이트 피칭은 불가능 하여 호젓한 미니멀 캠핑을 즐기는 2인 이하 캠핑 족들에게 추천한다. 사이트 전체를 단체 1팀에게 대여하지는 않는다. 파쇄석이 도포가 되어 있기는 하나 부드러운 황토 흙 위에 있어 대형텐트 설치 시 참고한다. 전기 및 소화기등 안전시설 상태가 좋고 와이파이, 공용 샤워실 및 공용 개수대, 공용 화장실 시설이 잘 갖춰져 있다.     관리실은 매점과 같이 운영하며 캠핑에 필요한 다양한 용품을 판매중이다. 관리동에 같이 시설된 공용시설 관리가 너무나 좋아 단골손님이 많은 캠핑장이다. 무더운 여름은 계곡과 솔밭 향기가 좋은 이런 캠핑장을 이용해 보는 것도 피서의 방법이겠다.  ","2024-05-09",,"",""
5005,"가평 사과나무 캠핑장","여가활동","캠핑","자동차야영장","경기도","가평군","상면","항사리","427-6 번지","","",37.7895,127.3585,"12445","","경기도 가평군 상면 항사리 427-6","정보없음","http://cafe.naver.com/appletreecamping","민간","평일 미운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 미운영","전기 사용가능","온수 사용불가","wifi 사용불가","장작판매","산책로 없음","물놀이장 미보유","놀이터 보유","마트 없음","2","2","6","8","낚시 시설없음","시설 주변 산책로 없음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","전망좋음. 사이트별 단독사이트 설치가능","서울에서 가까운 경기도 가평군 상면 에 위치한 사과나무 캠핑장은 나무숲이 좋은 고지대 계단식으로 구축한 캠핑장으로 조용하게 가족이나 2-3팀이 머무르며 청량감을 느끼기에 더없이 좋은 캠핑장이다.      캠핑장은 펜션을 지으려고 전망이 좋은 개인소유 작은 산을 계단처럼 기반공사를 한곳으로 사이트 끝 쪽으로는 나무 데크를 설치되어 있어 편안한 사이트를 구축할 수 있는 장정이 있다. 1층은  5-6개 정도 사이트를 치면 아늑한 모양의 캠핑장이 구축되고 2층은 사무실과 공용 시설이 있는 관리동이 있는데 이기 역시 나무 데크로 된 난간이 있어 내려다보는 전망도 좋고 본인의 텐트가 있다면 사진을 찍기도 좋은 장소이다.      3층 중간에는 아이들을 위한 트렘폴린이 설치되어 있고 최상층 과수원에 오르면 ‘밤나무’라고 부르는 사이트가 나온다. 그야말로 혼자서 여유로움을 즐길 수 있는 제일 멋진 장소이다. 이 캠핑장은 사과나무뿐만 아니라 포도나무도 많이 심어져 있어서 계절의 정취도 함께 느낄 수 있는 산책로가 조성되어 있다. 가을에는 들꽃들이 지천으로 피어 캠핑의 참맛을 주는 캠핑장이다. 매점은 따로 없지만 장작은 판매한다. 이용에 참고하면 좋다.","2024-05-09",,"",""
5006,"가평 오렌지캠프","여가활동","캠핑","자동차야영장,글램핑","경기도","가평군","북면","목동리","344-1 번지","멱골로272번길","7 번",37.9134,127.5766,"12403","경기도 가평군 북면 멱골로272번길 7","경기도 가평군 북면 목동리 344-1","정보없음","http://cafe.naver.com/soricamping.cafe","민간","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작 미판매","산책로 없음","물놀이장 보유","놀이터 미보유","마트 없음","4","4","6","20","낚시 시설없음","시설 주변 산책로 없음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 보유","글램핑 TV 보유","글램핑 냉장고 보유","글램핑 유무선 인터넷 보유","글램핑 내부화장실 미보유","글램핑 에어컨 보유","글램핑 난방기 보유","글램핑 취사도구 미보유","인근 ‘별비치 워터파크’와 업무제휴로 할인된 가격으로 이용 가능","가평 오렌지캠프는 경기도 가평군 북면에 위치하며 북배산, 가덕산, 촛대봉에 둘러 싸여진 삼각지점에서 불어오는 시원한 바람으로 여름철에도 에어컨이 필요 없을 정도의 시원한 캠핑장이다.    캠핑장은 사이트 22개동(8m×8m), 오토캠핑 7면(6m×8m)을 운영한다. 캠핑장 주위를 숲이 둘러싸여 있어 산에서 부는 바람이 시원하여 특별히 에어컨을 틀지 않아도 될 정도로 쾌적하다. 캠핑장 중간에 수영장을 운영 중이며 인근 ‘별비치 워터파크’와 업무제휴로 정상가보다 많이 할인된 가격의 이용권이 발급된다. 마침 필자가 방문한 날은 모 기업의 가을캠프 1박2일이 있었는데 동시에 최대 150명을 수용하여 무리 없이 운영하는 모습을 확인 했었다.     부대시설로는 대형 방갈로 식 펜션도 운영 중인데 2층 침대가 있고 방의 넓어 소규모 회의도 가능하다. 관리실 건물에는 매점과 공용화장실, 샤워실, 개수대를 배치하였고 관리상태도 깨끗하다. 매점은 캠핑에 필요한 여러 가지 물품을 취급하고 있어 자칫 소홀하기 쉬운 준비상황을 대처 할 수 있다.","2024-05-09",,"",""
5007,"가평 운악홀리데이 캠핑장","여가활동","캠핑","글램핑","경기도","가평군","조종면","신상리","206-10 번지","운악청계로","424 번",37.8531,127.3564,"12434","경기도 가평군 조종면 운악청계로 424","경기도 가평군 조종면 신상리 206-10","0505-356-9520","http://jamping.co.kr","지자체","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작판매","산책로 있음","물놀이장 미보유","놀이터 보유","마트 없음","1","1","0","0","낚시 시설없음","시설 주변 산책로 없음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 보유","글램핑 TV 보유","글램핑 냉장고 보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 보유","글램핑 에어컨 보유","글램핑 난방기 보유","글램핑 취사도구 보유","운악산 근처 위치","가평운악홀리데이 카라반파크는 경기도 가평군 조종면에 자리했다. 가평군청을 기점으로 46번 국도를 타고 청평 방면으로 달리다 37번 국도로 갈아타고 운악산 쪽으로 가면 도착한다. 이곳은 가운데 너른 잔디밭을 15대의 캐러밴이 둘러싼 캠핑장이다. 캐러밴 내부는 음식과 세면도구만 챙겨 가면 아늑한 캠핑을 만끽할 수 있다. 침대, TV, 개수대, 취사도구, 식기류, 화장실, 샤워실 등을 갖췄기 때문이다. 캐러밴 외부에는 전용데크, 어닝, 파라솔, 테이블, 의자, 바비큐 시설을 마련했다. 캠핑장 바로 옆에 커피숍과 음식점도 있다는 것도 장점이다. 캠핑장에서 매점을 운영하지 않지만, 자동차로 10여 분 거리에 마트가 몰려있어 불편함이 없다.","2024-05-09",,"",""
5011,"가평무릉도원캠핑장","여가활동","캠핑","자동차야영장","경기도","가평군","상면","임초리","600 번지","임초밤안골로","207 번",37.7515,127.3681,"12447","경기도 가평군 상면 임초밤안골로 207","경기도 가평군 상면 임초리 600","정보없음","https://cafe.naver.com/0315855995","민간","평일 미운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작판매","산책로 없음","물놀이장 보유","놀이터 보유","마트 있음","4","2","35","50","낚시 시설없음","시설 주변 산책로 있음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 있음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 없음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","계곡 근처에 위치","알수없음","2024-05-09",,"",""
5012,"가평사계절캠핑장","여가활동","캠핑","일반야영장,자동차야영장","경기도","가평군","북면","목동리","819-3 번지","가화로","988 번",37.8837,127.5486,"12403","경기도 가평군 북면 가화로 988","경기도 가평군 북면 목동리 819-3","031-582-7883","http://cafe.naver.com/gp4camping","민간","평일 운영","주말 운영","봄 운영","여름 운영","가을 운영","겨울 미운영","전기 사용가능","온수 사용가능","wifi 사용가능","장작 미판매","산책로 없음","물놀이장 미보유","놀이터 미보유","마트 있음","2","3","4","16","낚시 시설 있음","시설 주변 산책로 있음","시설 주변 물놀이(해수욕장) 없음","시설 주변 물놀이(수상레저) 없음","시설 주변 물놀이(계곡) 없음","시설 주변 물놀이(강) 없음","시설 주변 물놀이(수영장) 없음","시설 주변 물놀이(청소년체험시설) 없음","시설 주변 물놀이(농어촌체험시설) 없음","시설 주변 물놀이(어린이놀이시설) 있음","글램핑 침대 미보유","글램핑 TV 미보유","글램핑 냉장고 미보유","글램핑 유무선 인터넷 미보유","글램핑 내부화장실 미보유","글램핑 에어컨 미보유","글램핑 난방기 미보유","글램핑 취사도구 미보유","명지산 계곡에서 물놀이를 즐길 수 있음","목동 시외버스 터미널에서 도보로 접근이 가능하여 접근성이 편리하다.  가능하다. 캠핑장 앞 버스 정류장이 있어 접근이 편리하다. 명지산 깊은 계곡을 끼고 있어 수량이 풍부하여 물놀이가 가능한 장점이 있다.     총 25개 사이트로 오토캠핑과 일반 캠핑사이트 구분 없이 사용되면 2동의 통나무 방갈로가 운영되고 있다. 캠핑장과 가까운 부대시설에는 따로 매점은 운영하지 않고 있으며 유아용 트럼블린이 있다. 비교적 수령이 있는 나무들 사이에 사이트가 구상되어 있어 텐트 설치도 편하다. 관리동에 공용 화장실 및 샤워시설, 개수대가 설치되어 있으며 관리상태가 양호하고 청결하다. 캠핑장 아래 수량이 풍부한 맑은 물이 흐르는 계곡이 있어 캠핑과 물놀이를 겸해서 할 수 있다. 인근에 주유소 및 대형마트가 있어 편리하게 이용이 가능하다. ","2024-05-09",,"",""
