"ID","NAME","AVG_RATING","REVIEWS","PREDICT"
401,"가래골농원 캠핑장",0,"토 토요 번째 방문인증 수단영수증 리뷰 사진 팔로우 가성비는 떨어지지만 시설은 좋인요 바비큐 해먹기 좋아요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
402,"가래골농원 캠핑장",0,"토 토요 번째 방문인증 수단영수증 편수학교습소 리뷰 사진 팔로우 너무 좋아요 깨끗해요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 명 방문 ",1
403,"가래골농원 캠핑장",0," 요 번째 방문인증 수단영수증",0
374,"가래골농원 캠핑장",0,"방문 키워드 통계 그래프 예시입니다",0
375,"가래골농원 캠핑장",0," 현재 명 참여 명 이상 참여하면 방문 키워드 통계가 공개됩니다 리뷰 쓰기 추천순최신순 정렬 안내 리뷰 클렌징 시스템 작동 중입니다",0
376,"가래골농원 캠핑장",0," 리뷰 사진 팔로워 팔로우 목적 여행동행 연인 배우자 친구 아이 아이들이 보고 즐길거리가 많고 깨끗하고 안전합니다",1
377,"가래골농원 캠핑장",0," 깨끗해요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
378,"가래골농원 캠핑장",0,"금 금요 번째 방문인증 수단영수증 웅봉지환 리뷰 사진 팔로우 첫 방문인데 너무 좋았습니다",1
379,"가래골농원 캠핑장",0," 박 머무는 동안 첫날은 만실 둘째날은 여유 있어 주변 눈치 볼 필요 없었고 첫날 비온 후 방문하여 맑은 날씨에 캠핑 즐겼습니다",1
380,"가래골농원 캠핑장",0," 장점 ",1
381,"가래골농원 캠핑장",0," 넓은 규모 ",1
382,"가래골농원 캠핑장",0," 사이트 별 주차 가능 ",0
383,"가래골농원 캠핑장",0," 난민 캠 아님 ",0
384,"가래골농원 캠핑장",0," 동물 먹이주기 승마 체험가능 ",1
385,"가래골농원 캠핑장",0," 어린이 놀이시설 보유 ",0
386,"가래골농원 캠핑장",0," 주변 경관 우수 ",1
387,"가래골농원 캠핑장",0," 여유있는 퇴실시간 단점 ",1
388,"가래골농원 캠핑장",0," 비싼 이용요금 ",1
389,"가래골농원 캠핑장",0," 좁은 화장실과 샤워실 ",1
390,"가래골농원 캠핑장",0," 사이트 쪽 전자렌지 없음 ",0
391,"가래골농원 캠핑장",0," 매점 승마 체험 이용요금 비쌈 ",1
392,"가래골농원 캠핑장",0," 매너타임 관리 미흡 개인적 의견이며 재방문 의사 있음 뷰가 좋아요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 명 방문 ",1
393,"가래골농원 캠핑장",0," 요 번째 방문인증 수단영수증 리뷰 사진 팔로워 팔로우 굿 사이트 간격이 넓어요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
394,"가래골농원 캠핑장",0,"금 금요 번째 방문인증 수단결제내역 너울 리뷰 사진 팔로우 시설이 엄청 좋은것도 아닌데 만원은 많이 비싼 느낌입니다",0
395,"가래골농원 캠핑장",0," 매점 물품 가격도 비싸고 장작도 비싸고 다 엄청 비쌉니다",0
396,"가래골농원 캠핑장",0," 코로나로 캠핑 수요 많아진걸 이렇게",0
397,"가래골농원 캠핑장",0," 동물들 관리 안되고 분뇨 냄새납니다",0
398,"가래골농원 캠핑장",0," 결제도 현금만 받으시네요",0
399,"가래골농원 캠핑장",0," 반응 남기기 명 방문 ",1
400,"가래골농원 캠핑장",0," 요 번째 방문인증 수단영수증 리뷰 사진 팔로우 매해마다 가요 주차하기 편해요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
255,"(주)포세이돈",0,"네이버 예약 주문 영수증으로 방문 인증한 후기입니다",0
256,"(주)포세이돈",0," 리뷰 쓰기 추천순최신순 정렬 안내 리뷰 클렌징 시스템 작동 중입니다",0
257,"(주)포세이돈",0," 리뷰 사진 팔로우 굿 반응 남기기 반응 남기기 방문 ",1
258,"(주)포세이돈",0,"화 화요 번째 방문인증 수단영수증",0
88,"(주)수동자연마을 힐링별밤수목원캠핑장",4.29," 화장실이 잘 되어있어요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
89,"(주)수동자연마을 힐링별밤수목원캠핑장",4.29,"화 화요 번째 방문인증 수단예약 리뷰 사진 팔로워 팔로우 객실명 계곡 목적 가족모임동행 부모님 첫 백패킹 하필 비오가왔다",1
90,"(주)수동자연마을 힐링별밤수목원캠핑장",4.29," 너무 힘들게 텐트 피칭하고 타프치느라 지쳐서 사진이 많이 없네",1
91,"(주)수동자연마을 힐링별밤수목원캠핑장",4.29," 이곳은 티비촬영도 했던 곳이라 유명하다 따뜻한 물도 콸콸 화장실도 매우 청결했다 뷰가 좋아요 개의 리뷰가 더 있습니다펼쳐보기 반응 남기기 반응 남기기 방문 ",1
92,"(주)수동자연마을 힐링별밤수목원캠핑장",4.29,"금 금요 번째 방문인증 수단예약 지인 리뷰 사진 팔로우 객실명 별밤 목적 데이트동행 연인 배우자 별밤존 노키즈존이라 조용하고 나쁘진 않은데 화장실가려면 언덕내려가야해서 저처럼 자주 가시는 분들은 힐링존이 나을듯해요 조용히 쉬기 좋아요 반응 남기기 반응 남기기 방문 ",1
93,"(주)수동자연마을 힐링별밤수목원캠핑장",4.29,"토 토요 번째 방문인증 수단예약 루브케이 리뷰 사진 팔로우 객실명 힐링 이용 방법 예약 후목적 여행동행 연인 배우자 수도권 근교라서 접근성이 매우용이합니다",1
